Alcanza College Fair  ,10/22/21,virtual
Aleghany County Fair,10/12/21,
Alexandria College Fair,10/14/21,
Boone County Fair,9/23/21,
Bridgeport Fair,10/27/21,
Brooke Fair,9/27/21,
Carroll County Fair,10/11/21,
Charles County Fair,9/13/21,
Clermont County Fair,9/16/21,
DC CAP Fair ,11/18/21,virtual
DC CAP Fair ,11/16/21,virtual
DC CAP Fair ,11/17/21,virtual
DC Fair ,11/18/21,virtual
DCPS Fair,5/25/21,
Depaul Cristo Rey Fair,9/18/21,virtual
Easter Carter Fair,10/21/21,
Eastern KYACAC Fair,10/20/21,virtual
Eastern Prince William County Fair,9/27/21,
Faquier County Fair,9/28/21,
Forrest Hills College Fair,9/29/21,virtual
Fredericksburg Fair,10/20/21,
Friendship Public Charter ,10/28/21,virtual
Glenville State Fair,10/29/21,
GMU Fair ,4/8/21,virtual
Greenbrier East Fair,10/14/21,
Greenbrier West Fair,10/14/21,
Hampshire Fair,10/18/21,
Huntington Area College Fair,9/20/21,
James Monroe Fair,9/16/21,
Johnson Central Fair,9/30/21,
Kanawha County Fair,10/4/21,
KYACAC Fair,10/27/21,virtual
KYACAC Fair ,11/13/21,virtual
KYACAC Fair ,11/14/21,virtual
KYACAC Fair ,4/8/21,virtual
KYACAC Fair 1 ,9/29/21,virtual
KYACAC Fair 1 ,10/15/21,virtual
KYACAC Fair 1 ,10/21/21,virtual
KYACAC Fair 1 ,12/7/21,virtual
KYACAC Fair 1 ,2/23/21,virtual
KYACAC Fair 2 ,9/29/21,virtual
KYACAC Fair 2 ,10/15/21,virtual
KYACAC Fair 2 ,10/21/21,virtual
KYACAC Fair 2 ,12/7/21,virtual
KYACAC Fair 2 ,2/23/21,virtual
Lawrence  County KY Fair,9/15/21,
Lawrence County OH Fair,10/21/21,
Lebanon Fair,10/26/21,
Liberty (Harrison County) Fair,10/28/21,
Lincoln Fair,10/27/21,
Magnolia Fair,9/28/21,
Marin County KY Fair,10/18/21,
Martinsburg Fair,5/6/21,virtual
Mercer County Fair,9/14/21,
Miami Articulation Fair,9/9/21,
Mingo Central Fair,9/22/21,
Moeller Fair,10/25/21,
Morehead Fair,9/23/21,
NACAC ,9/13/21,virtual
NACAC ,10/18/21,virtual
NACAC ,1/31/21,virtual
NACAC ,2/28/21,virtual
NACAC ,3/21/21,virtual
NACAC ,5/2/21,virtual
NACAC ,8/29/21,virtual
NACAC ,9/12/21,
NACAC ,10/3/21,virtual
NACAC ,10/24/21,virtual
NACAC ,11/14/21,virtual
Nicholas County Fair,10/15/21,
Northern KYACAC Fair,10/6/21,virtual
OACAC Fair,11/12/21,
OACAC Fair,10/18/21,virtual
OACAC Fair,10/21/21,virtual
OACAC Fair ,2/24/21,virtual
OACAC Transfer Fair ,4/7/21,virtual
Oak Hill Fair,11/10/21,
Ohio Dominican Articulation Fair,9/10/21,
OU Southern Fair 1  ,11/5/21,virtual
OU Southern Fair 2  ,11/5/21,virtual
Parkersburg Catholic Fair,11/8/21,
Petersburg Fair,10/19/21,
Pocahontas Fair,10/20/21,
Point Pleasant Fair,9/21/21,
Preston Fair,10/26/21,
Putnam County Fair,9/21/21,
Ravenswood Fair,9/29/21,
Rio Grande Fair,10/28/21,
Ripley Fair,9/29/21,
Scioto Community Fair,10/29/21,
Shawnee State Fair,10/14/21,
Shepherd Fair,10/18/21,
Skyline Fair,9/29/21,
Southwest OH Regional Fair,10/28/21,
Southwestern OH College Fair,9/29/21,
St. Mary's Fair,9/30/21,
Summers County Fair,9/16/21,
Tyler Consolidated Fair,9/28/21,
University of Pikeville Fair,9/24/21,
VACRAO Fair ,10/13/21,virtual
VACRAO Fair ,4/7/21,virtual
Washington County Fair,10/13/21,
Washington Latin Instant Decision Day,12/14/21,virtual
Washington Leadership Fair,12/1/21,virtual
Wayne  County Fair ,5/7/21,virtual
Webster County Fair,10/15/21,
West Side Fair,9/15/21,
Western KYACAC Fair,10/13/21,virtual
Western Prince William Fair,10/19/21,
Wheeling Area Fair,10/25/21,
Williamstown Fair,11/8/21,
Winton Woods Fair,2/10/21,
Wirt County Fair,9/30/21,
Woodrow Wilson Fair,9/29/21,
WV Wesleyan Fair,11/9/21,
WVACRAO Fair ,10/28/21,virtual
WVACRAO Fair ,2/16/21,virtual
WVACRAO Fair ,2/17/21,virtual
WVACRAO Fair ,2/18/21,virtual
Wyoming East Fair,9/15/21,