Rose Hill Christian ,8/27/21,In-Person
Dawson-Bryant  ,8/27/21,In-Person
Wheelersburg  ,9/1/21,In-Person
Wellston  ,9/2/21,In-Person
Portsmouth STEM,9/3/21,In-Person
Portsmouth West  ,9/3/21,In-Person
South Gallia  ,9/7/21,In-Person
Tri-State Early College STEM+M,9/7/21,In-Person
River Valley  ,9/8/21,In-Person
Clay  ,9/8/21,In-Person
Benjamin Banneker,9/8/21,In-Person
Pikeville,9/9/21,In-Person
Washington Leadership ,9/9/21,In-Person
Eastern Local Pike  ,9/10/21,In-Person
Western  ,9/10/21,In-Person
South Charleston  ,9/13/21,In-Person
Johnson Central,9/13/21,In-Person
Waverly  ,9/13/21,In-Person
Fairland  ,9/14/21,Virtual
Sissonville  ,9/14/21,In-Person
East Carter ,9/14/21,In-Person
Green  ,9/14/21,In-Person
Archbishop Spalding,9/14/21,In-Person
Damascus HS,9/14/21,In-Person
New Town HS,9/14/21,In-Person
Lawrence County,9/15/21,In-Person
Little Miami,9/15/21,In-Person
Northwest HS,9/15/21,In-Person
Oak Hill  ,9/16/21,In-Person
South Point  ,9/16/21,In-Person
Elder,9/16/21,In-Person
Princeton,9/16/21,In-Person
St. Xavier,9/16/21,In-Person
Tygarts Valley ,9/17/21,In-Person
Chesapeake  ,9/17/21,In-Person
Pike County Voc  ,9/17/21,In-Person
Madeira,9/17/21,In-Person
Moeller,9/17/21,In-Person
East Ridge,9/20/21,In-Person
Phelps,9/20/21,In-Person
Arundel Sr HS,9/20/21,In-Person
Jemicy School,9/20/21,In-Person
Phillip Barbour,9/20/21,In-Person
Shady Spring,9/21/21,In-Person
Russell ,9/21/21,In-Person
Hammond HS,9/21/21,In-Person
Luke C. Moore Academy,9/22/21,Virtual
Ripley  ,9/22/21,In-Person
St. Joe Catholic  ,9/22/21,In-Person
Paul Blazer,9/22/21,In-Person
Gallia Academy  ,9/22/21,In-Person
School Without Walls,9/22/21,In-Person
Spring Mills,9/22/21,In-Person
Robert C. Byrd  ,9/23/21,In-Person
Sycamore,9/24/21,Virtual
Summers County,9/24/21,In-Person
Westside  ,9/24/21,In-Person
Teays Valley Chistian  ,9/27/21,In-Person
Buckeye Hills Career Center,9/27/21,In-Person
Dominion HS,9/27/21,In-Person
Rock Ridge HS,9/27/21,In-Person
Woodgrove HS,9/27/21,In-Person
Parkersburg  ,9/28/21,In-Person
Parkersburg Catholic  ,9/28/21,In-Person
Parkersburg South  ,9/28/21,In-Person
Symmes Valley  ,9/28/21,In-Person
H.D. Woodson,9/28/21,In-Person
Liberty High School,9/28/21,In-Person
Patriot HS,9/28/21,In-Person
Woodrow Wilson,9/29/21,In-Person
Battlefield HS,9/29/21,In-Person
Lake Braddock Secondary,9/29/21,In-Person
Bishop Waterson  ,9/30/21,In-Person
Cristo Rey  ,9/30/21,In-Person
Archbishop Carroll HS,9/30/21,In-Person
Eastern Senior,9/30/21,In-Person
Bexley  ,10/1/21,In-Person
Columbus Academy,10/1/21,In-Person
Basis DCPS,10/1/21,In-Person
Mckinley Tech,10/1/21,In-Person
Old Mill Snr HS,10/1/21,In-Person
Anacostia Senior High ,10/4/21,In-Person
Columbia Heights Education,10/4/21,In-Person
EL Haynes,10/4/21,In-Person
Paul L. Dunbar,10/4/21,In-Person
Woodrow Wilson HS,10/4/21,In-Person
Saint Albans  ,10/5/21,In-Person
Cesar Chavez- Parkside,10/5/21,In-Person
Pendleton,10/7/21,In-Person
Petersburg ,10/7/21,In-Person
Spring Valley  ,10/11/21,In-Person
Minford  ,10/11/21,In-Person
Archbishop Curley,10/11/21,In-Person
Eastern Technical,10/11/21,In-Person
Tolsia  ,10/12/21,In-Person
Valley Local  ,10/12/21,In-Person
D.C. International School,10/12/21,In-Person
Friendship Collegiate,10/12/21,In-Person
John F. Kennedy HS,10/12/21,In-Person
Eastern Local Meigs  ,10/13/21,Virtual
Capitol City PCS,10/14/21,In-Person
Fauquier HS,10/14/21,In-Person
John Champe HS,10/14/21,In-Person
Roosevelt,10/14/21,In-Person
Colonial Forge HS,10/15/21,In-Person
Stafford Sr HS,10/15/21,In-Person
Somerset Prep,10/18/21,Virtual
Scioto Co Joint Voc  ,10/18/21,In-Person
Big Walnut,10/19/21,Virtual
Wayne  ,10/19/21,In-Person
Rock Hill  ,10/19/21,In-Person
South Webster  ,10/19/21,In-Person
Poca  ,10/19/21,In-Person
Wahama  ,10/20/21,In-Person
Northwest,10/20/21,In-Person
Gar-Field HS,10/21/21,Virtual
Point Pleasant  ,10/21/21,In-Person
South County HS,10/21/21,In-Person
Wakefield HS,10/21/21,In-Person
Westfield HS,10/21/21,In-Person
Washington Latin,10/22/21,Virtual
Thomas Worthington  ,10/22/21,Virtual
Winfield  ,10/22/21,In-Person
Greenup County,10/22/21,In-Person
Our Lady of Good Counsel,10/22/21,In-Person
La Salle,10/25/21,In-Person
Mt. Notre Dame,10/25/21,In-Person
Franklin,10/25/21,In-Person
Wheeling Park  ,10/26/21,In-Person
St. Joseph Central  ,10/26/21,In-Person
West Clermont,10/26/21,In-Person
St. Ursula,10/26/21,In-Person
Belfry,10/27/21,In-Person
Ironton  ,10/27/21,In-Person
Loveland,10/27/21,In-Person
Milford,10/27/21,In-Person
Winton Woods,10/27/21,In-Person
Ravenswood  ,10/28/21,In-Person
KIPP DC College Prep PCS,10/29/21,Virtual
New Richmond,10/29/21,In-Person
Purcell Marian,10/29/21,In-Person
Henry E. Lackey HS,11/1/21,Virtual
North Point HS,11/1/21,Virtual
Princeton Senior  ,11/1/21,In-Person
Cardozo Educational Campus,11/1/21,In-Person
Oak Hill,11/2/21,In-Person
Riverside  ,11/2/21,In-Person
Phillip Barbour,11/2/21,In-Person
Spring Mills,11/2/21,In-Person
River View  ,11/3/21,In-Person
Ohio Valley Christian  ,11/3/21,In-Person
Olentangy,11/3/21,In-Person
Olentangy Berlin,11/3/21,In-Person
Dublin Coffman,11/3/21,In-Person
Tucker County,11/4/21,In-Person
Olentangy Liberty,11/4/21,In-Person
Olentangy Orange,11/4/21,In-Person
Dublin Scioto,11/4/21,In-Person
Hilliard Davidson,11/5/21,In-Person
Dublin Jerome  ,11/8/21,In-Person
Eastmoor Academy  ,11/8/21,In-Person
Lincoln  ,11/8/21,In-Person
Hilliard Darby,11/9/21,In-Person
Reynoldsburg  ,11/9/21,In-Person
Worthington Kilbourne,11/9/21,In-Person
Groveport-Madison,11/10/21,In-Person
Hilliard Bradley,11/10/21,In-Person
Roane County  ,11/15/21,In-Person
Jackson  ,11/15/21,In-Person
Wirt County  ,11/16/21,In-Person
Boyd County,11/16/21,In-Person
Williamstown  ,11/17/21,In-Person
Oak Glen  ,11/18/21,In-Person
Piketon  ,12/1/21,In-Person
Scott  ,12/3/21,In-Person
Poca  ,12/7/21,In-Person